number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,17561.895750526965,2025-03-17 11:17:00.070554,2025-03-17 11:17:01.061937,0 days 00:00:00.991383,0.2902930119360957,14,19,100,99,COMPLETE
1,16700.271432199017,2025-03-17 11:17:01.062198,2025-03-17 11:17:04.331471,0 days 00:00:03.269273,0.24926626197353582,15,37,500,67,COMPLETE
2,16088.369786727197,2025-03-17 11:17:04.331931,2025-03-17 11:17:05.730900,0 days 00:00:01.398969,0.015438336099071342,7,16,200,44,COMPLETE
3,15311.506783250432,2025-03-17 11:17:05.731188,2025-03-17 11:17:07.958056,0 days 00:00:02.226868,0.018034547186098277,8,41,500,97,COMPLETE
4,16725.4888139102,2025-03-17 11:17:07.958506,2025-03-17 11:17:11.522661,0 days 00:00:03.564155,0.018833376820204976,12,11,800,22,COMPLETE
5,54585.52594351774,2025-03-17 11:17:11.523216,2025-03-17 11:17:11.559000,0 days 00:00:00.035784,0.013078375395015848,7,14,1000,54,PRUNED
6,16228.89223316654,2025-03-17 11:17:11.559136,2025-03-17 11:17:12.079485,0 days 00:00:00.520349,0.18295388583946048,6,30,200,74,COMPLETE
7,53171.010709472386,2025-03-17 11:17:12.079871,2025-03-17 11:17:12.112007,0 days 00:00:00.032136,0.04106033939035691,13,44,700,58,PRUNED
8,15933.914548618457,2025-03-17 11:17:12.112123,2025-03-17 11:17:13.244136,0 days 00:00:01.132013,0.21364097261285278,6,42,500,50,COMPLETE
9,53443.53152975636,2025-03-17 11:17:13.244645,2025-03-17 11:17:13.281210,0 days 00:00:00.036565,0.03742546620851246,10,13,900,54,PRUNED
10,51024.152713012736,2025-03-17 11:17:13.281339,2025-03-17 11:17:13.319385,0 days 00:00:00.038046,0.09074099389261228,3,50,400,100,PRUNED
11,50478.6203059952,2025-03-17 11:17:13.319516,2025-03-17 11:17:13.358205,0 days 00:00:00.038689,0.09753987760488958,4,35,600,79,PRUNED
