number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,22299.475148405076,2025-03-17 12:57:35.541528,2025-03-17 12:57:44.140135,0 days 00:00:08.598607,0.01067349625318989,4,28,44,COMPLETE
1,22362.346630706572,2025-03-17 12:57:44.140360,2025-03-17 12:57:50.106721,0 days 00:00:05.966361,0.05434664268077248,3,30,90,COMPLETE
2,22685.296645718394,2025-03-17 12:57:50.106903,2025-03-17 12:58:15.540614,0 days 00:00:25.433711,0.01943475139832935,15,33,26,COMPLETE
3,25215.631568471348,2025-03-17 12:58:15.540800,2025-03-17 12:58:51.578253,0 days 00:00:36.037453,0.2810356083769017,15,24,93,COMPLETE
4,24267.819922812185,2025-03-17 12:58:51.578436,2025-03-17 12:59:00.911461,0 days 00:00:09.333025,0.2327256780324671,4,11,98,COMPLETE
5,23427.71350890362,2025-03-17 12:59:00.911643,2025-03-17 12:59:22.196283,0 days 00:00:21.284640,0.07106187461711196,11,37,47,COMPLETE
6,22302.989041169323,2025-03-17 12:59:22.196477,2025-03-17 12:59:58.949793,0 days 00:00:36.753316,0.015915108896551688,12,11,74,COMPLETE
7,24612.936834630655,2025-03-17 12:59:58.949980,2025-03-17 13:00:27.553544,0 days 00:00:28.603564,0.16275543529907255,14,38,59,COMPLETE
8,23687.67378677783,2025-03-17 13:00:27.553733,2025-03-17 13:00:58.208106,0 days 00:00:30.654373,0.06392099347458619,15,28,49,COMPLETE
9,22277.271312796172,2025-03-17 13:00:58.208290,2025-03-17 13:01:18.632428,0 days 00:00:20.424138,0.024099486232767458,12,37,21,COMPLETE
10,21296.249794153333,2025-03-17 13:01:18.632620,2025-03-17 13:01:32.614634,0 days 00:00:13.982014,0.03239009567752755,8,50,20,COMPLETE
11,21339.506701299622,2025-03-17 13:01:32.614830,2025-03-17 13:01:44.582994,0 days 00:00:11.968164,0.031239484847041817,7,50,20,COMPLETE
12,21331.250249481825,2025-03-17 13:01:44.583183,2025-03-17 13:01:57.050898,0 days 00:00:12.467715,0.03603820570705903,7,50,32,COMPLETE
13,21294.185599441425,2025-03-17 13:01:57.051092,2025-03-17 13:02:09.438016,0 days 00:00:12.386924,0.037814287031763684,7,50,34,COMPLETE
14,22383.01979553807,2025-03-17 13:02:09.438200,2025-03-17 13:02:23.396134,0 days 00:00:13.957934,0.09727471694756243,8,44,35,COMPLETE
15,21424.874372799582,2025-03-17 13:02:23.396324,2025-03-17 13:02:40.341075,0 days 00:00:16.944751,0.040512854578502094,9,44,34,COMPLETE
