number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,15529.669776147826,2025-03-17 10:50:26.316607,2025-03-17 10:50:29.490039,0 days 00:00:03.173432,0.010704722183734796,8,31,500,85,COMPLETE
1,15269.678628577107,2025-03-17 10:50:29.490546,2025-03-17 10:50:31.262309,0 days 00:00:01.771763,0.09629762516836103,14,34,300,52,COMPLETE
2,16816.305938033893,2025-03-17 10:50:31.262651,2025-03-17 10:50:32.660679,0 days 00:00:01.398028,0.03931423319931202,15,10,300,23,COMPLETE
3,15523.15380218641,2025-03-17 10:50:32.661048,2025-03-17 10:50:35.030420,0 days 00:00:02.369372,0.014840298359489945,6,50,1000,97,COMPLETE
4,16077.154060263721,2025-03-17 10:50:35.030968,2025-03-17 10:50:36.818086,0 days 00:00:01.787118,0.02430057373621139,10,18,200,64,COMPLETE
5,14833.94084904952,2025-03-17 10:50:36.818401,2025-03-17 10:50:39.609419,0 days 00:00:02.791018,0.09472283631749949,8,47,1000,31,COMPLETE
6,16505.847786762773,2025-03-17 10:50:39.610194,2025-03-17 10:50:39.906915,0 days 00:00:00.296721,0.27206450345953603,3,32,600,72,PRUNED
7,16252.139369220353,2025-03-17 10:50:39.907125,2025-03-17 10:50:40.432054,0 days 00:00:00.524929,0.16993968854148034,6,29,700,27,PRUNED
8,54500.15971399151,2025-03-17 10:50:40.432264,2025-03-17 10:50:40.467549,0 days 00:00:00.035285,0.01432083200653343,12,31,100,88,PRUNED
9,54139.725508829,2025-03-17 10:50:40.467676,2025-03-17 10:50:40.503674,0 days 00:00:00.035998,0.021612831882245,13,31,600,44,PRUNED
10,14997.562029529501,2025-03-17 10:50:40.503793,2025-03-17 10:50:44.164203,0 days 00:00:03.660410,0.07065776375081881,10,50,1000,39,COMPLETE
11,15352.183988523137,2025-03-17 10:50:44.164983,2025-03-17 10:50:45.168717,0 days 00:00:01.003734,0.07107188023654532,10,50,1000,38,PRUNED
12,15557.321674778615,2025-03-17 10:50:45.168921,2025-03-17 10:50:47.025072,0 days 00:00:01.856151,0.1300888785956271,8,43,800,36,PRUNED
13,15274.053859079571,2025-03-17 10:50:47.025389,2025-03-17 10:50:49.326511,0 days 00:00:02.301122,0.05254210906597602,11,42,900,52,PRUNED
14,44462.78360365477,2025-03-17 10:50:49.326803,2025-03-17 10:50:49.384200,0 days 00:00:00.057397,0.04001815413651904,6,42,800,21,PRUNED
15,14728.032020746663,2025-03-17 10:50:49.384352,2025-03-17 10:50:52.273971,0 days 00:00:02.889619,0.09232698221624487,8,45,1000,33,COMPLETE
16,15737.257810326324,2025-03-17 10:50:52.274736,2025-03-17 10:50:53.055163,0 days 00:00:00.780427,0.16478381223236818,4,39,800,33,PRUNED
