number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.2540760409989849,2025-03-18 10:02:47.809030,2025-03-18 10:04:37.369003,0 days 00:01:49.559973,0.09571903283911333,10,36,37,COMPLETE
1,0.24416943651424255,2025-03-18 10:04:37.369314,2025-03-18 10:05:27.393355,0 days 00:00:50.024041,0.1420398510809975,9,12,63,COMPLETE
2,0.2610664338559374,2025-03-18 10:05:27.393553,2025-03-18 10:06:04.020435,0 days 00:00:36.626882,0.06951803482542801,7,36,55,COMPLETE
3,0.24868558738317822,2025-03-18 10:06:04.020615,2025-03-18 10:07:09.802730,0 days 00:01:05.782115,0.06077287168038303,10,12,96,COMPLETE
4,0.3233535142357364,2025-03-18 10:07:09.802907,2025-03-18 10:07:25.577386,0 days 00:00:15.774479,0.01107510582135868,3,23,100,COMPLETE
5,0.2793934894693594,2025-03-18 10:07:25.577598,2025-03-18 10:08:09.376663,0 days 00:00:43.799065,0.017229348312044496,7,41,37,COMPLETE
6,0.274241543866413,2025-03-18 10:08:09.376844,2025-03-18 10:09:16.693496,0 days 00:01:07.316652,0.014209487790503324,8,34,87,COMPLETE
7,0.2670079364017689,2025-03-18 10:09:16.693686,2025-03-18 10:09:40.952452,0 days 00:00:24.258766,0.0622499543295722,5,24,92,COMPLETE
8,0.2597767501928895,2025-03-18 10:09:40.952653,2025-03-18 10:09:55.153486,0 days 00:00:14.200833,0.27928241905368795,3,21,27,COMPLETE
9,0.2641949926634294,2025-03-18 10:09:55.153666,2025-03-18 10:10:54.725807,0 days 00:00:59.572141,0.02774702965835105,9,27,69,COMPLETE
10,0.255102750724738,2025-03-18 10:10:54.726150,2025-03-18 10:12:08.915719,0 days 00:01:14.189569,0.18991576167887372,14,50,70,COMPLETE
11,0.24089918986208197,2025-03-18 10:12:08.915910,2025-03-18 10:13:21.374231,0 days 00:01:12.458321,0.11853569646400122,12,10,79,COMPLETE
12,0.24119989821936222,2025-03-18 10:13:21.374434,2025-03-18 10:14:36.989470,0 days 00:01:15.615036,0.1296845079840088,13,11,78,COMPLETE
13,0.2434821605978453,2025-03-18 10:14:36.989676,2025-03-18 10:16:33.658569,0 days 00:01:56.668893,0.11794901047055811,13,17,81,COMPLETE
14,0.25270220146682076,2025-03-18 10:16:33.658892,2025-03-18 10:20:56.043076,0 days 00:04:22.384184,0.03198055597933687,12,10,76,COMPLETE
15,0.242424296962609,2025-03-18 10:20:56.043374,2025-03-18 10:22:07.297380,0 days 00:01:11.254006,0.20338798549382117,15,15,50,COMPLETE
16,0.25285244580695976,2025-03-18 10:22:07.297567,2025-03-18 10:23:24.693259,0 days 00:01:17.395692,0.037487708167936,12,19,82,COMPLETE
17,0.24440761479099216,2025-03-18 10:23:24.693831,2025-03-18 10:24:32.478917,0 days 00:01:07.785086,0.08993914588307088,12,15,72,COMPLETE
18,0.24855369611734396,2025-03-18 10:24:32.479128,2025-03-18 10:25:41.429492,0 days 00:01:08.950364,0.16129290306225377,14,29,61,COMPLETE
19,0.24422906216184,2025-03-18 10:25:41.429675,2025-03-18 10:26:42.908769,0 days 00:01:01.479094,0.26419443901082995,11,10,88,COMPLETE
20,0.2571203228869066,2025-03-18 10:26:42.908965,2025-03-18 10:27:49.783921,0 days 00:01:06.874956,0.04466239836129472,15,46,45,COMPLETE
21,0.24286109646451282,2025-03-18 10:27:49.784125,2025-03-18 10:28:59.591133,0 days 00:01:09.807008,0.21242957040265092,15,15,51,COMPLETE
22,0.24362423444696368,2025-03-18 10:28:59.591478,2025-03-18 10:30:03.763323,0 days 00:01:04.171845,0.09207986013532801,13,15,45,COMPLETE
23,0.24395455666108995,2025-03-18 10:30:03.763511,2025-03-18 10:31:22.048961,0 days 00:01:18.285450,0.1305611685717734,14,19,79,COMPLETE
24,0.24240474582803118,2025-03-18 10:31:22.049191,2025-03-18 10:32:30.437737,0 days 00:01:08.388546,0.20962694025432407,13,13,66,COMPLETE
25,0.24243866880760523,2025-03-18 10:32:30.437956,2025-03-18 10:33:30.919208,0 days 00:01:00.481252,0.1558496475960766,11,12,66,COMPLETE
26,0.24145878851123567,2025-03-18 10:33:30.919397,2025-03-18 10:34:46.988717,0 days 00:01:16.069320,0.10356635139058402,13,10,76,COMPLETE
27,0.2448274621289943,2025-03-18 10:34:46.988908,2025-03-18 10:35:55.078306,0 days 00:01:08.089398,0.07748842112710828,11,10,75,COMPLETE
28,0.2439746718223866,2025-03-18 10:35:55.078495,2025-03-18 11:34:14.385357,0 days 00:58:19.306862,0.11861852310211125,13,19,81,COMPLETE
29,0.2518674673223754,2025-03-18 11:34:14.386029,2025-03-18 11:35:08.461217,0 days 00:00:54.075188,0.10312985169797892,10,33,87,COMPLETE
30,0.2557548852444801,2025-03-18 11:35:08.461403,2025-03-18 11:36:04.568524,0 days 00:00:56.107121,0.05035956659782009,10,25,59,COMPLETE
31,0.24196545992974205,2025-03-18 11:36:04.568715,2025-03-18 11:37:20.546866,0 days 00:01:15.978151,0.1797733830301952,13,13,73,COMPLETE
32,0.2422594932498292,2025-03-18 11:37:20.547055,2025-03-18 11:38:27.491693,0 days 00:01:06.944638,0.16353573880287453,12,13,77,COMPLETE
33,0.24310052299781354,2025-03-18 11:38:27.491888,2025-03-18 11:39:47.263691,0 days 00:01:19.771803,0.10470731461859745,14,17,84,COMPLETE
34,0.2431167407224309,2025-03-18 11:39:47.263883,2025-03-18 11:41:06.943571,0 days 00:01:19.679688,0.07525999913919823,13,10,73,COMPLETE
35,0.24280056933217162,2025-03-18 11:41:06.943755,2025-03-18 11:42:10.975512,0 days 00:01:04.031757,0.139155036059626,11,13,92,COMPLETE
36,0.24683969480732273,2025-03-18 11:42:10.975712,2025-03-18 11:43:17.411618,0 days 00:01:06.435906,0.08512964881393287,12,21,66,COMPLETE
