number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,29041.565590676462,2025-03-17 08:46:57.390705,2025-03-17 08:46:58.034422,0 days 00:00:00.643717,0.07423386357060453,5,32,400,46,COMPLETE
1,28965.48009423843,2025-03-17 08:46:58.034880,2025-03-17 08:46:58.139842,0 days 00:00:00.104962,0.05038563980779302,3,43,100,40,COMPLETE
2,28225.402796028826,2025-03-17 08:46:58.140079,2025-03-17 08:47:02.156946,0 days 00:00:04.016867,0.03745478339546456,13,32,1000,74,COMPLETE
3,29064.525740967896,2025-03-17 08:47:02.157767,2025-03-17 08:47:03.353961,0 days 00:00:01.196194,0.13817666113153165,11,20,300,88,COMPLETE
4,26973.629581305642,2025-03-17 08:47:03.354515,2025-03-17 08:47:07.244259,0 days 00:00:03.889744,0.1433004547077611,15,10,600,54,COMPLETE
5,26264.825788341368,2025-03-17 08:47:07.244783,2025-03-17 08:47:11.993889,0 days 00:00:04.749106,0.22405974909317652,12,13,900,46,COMPLETE
6,29402.235338721253,2025-03-17 08:47:11.994606,2025-03-17 08:47:12.097306,0 days 00:00:00.102700,0.23095949900800955,7,21,600,25,PRUNED
7,69596.9113869223,2025-03-17 08:47:12.097455,2025-03-17 08:47:12.103152,0 days 00:00:00.005697,0.028849200530198113,13,26,100,24,PRUNED
8,70483.19624489354,2025-03-17 08:47:12.103263,2025-03-17 08:47:12.112259,0 days 00:00:00.008996,0.0135365553387796,10,28,1000,77,PRUNED
9,66934.516383274,2025-03-17 08:47:12.112347,2025-03-17 08:47:12.115141,0 days 00:00:00.002794,0.08172262538097515,3,34,800,91,PRUNED
10,27995.71401153391,2025-03-17 08:47:12.115216,2025-03-17 08:47:12.790682,0 days 00:00:00.675466,0.28672583113679645,7,11,800,67,PRUNED
11,26975.771959969916,2025-03-17 08:47:12.790867,2025-03-17 08:47:15.519803,0 days 00:00:02.728936,0.14372080769144183,15,10,700,52,PRUNED
12,29649.960841413373,2025-03-17 08:47:15.520061,2025-03-17 08:47:16.119521,0 days 00:00:00.599460,0.15285388565464492,15,16,500,57,PRUNED
13,28973.19420858682,2025-03-17 08:47:16.119678,2025-03-17 08:47:16.789474,0 days 00:00:00.669796,0.18811360267780255,12,16,800,39,PRUNED
14,66320.5725013323,2025-03-17 08:47:16.789656,2025-03-17 08:47:16.805173,0 days 00:00:00.015517,0.09869817157550072,14,47,900,62,PRUNED
15,28476.05931327789,2025-03-17 08:47:16.805271,2025-03-17 08:47:17.381074,0 days 00:00:00.575803,0.2686456800245135,9,15,600,33,PRUNED
16,29275.01495148203,2025-03-17 08:47:17.381249,2025-03-17 08:47:17.614574,0 days 00:00:00.233325,0.10505995896502283,12,23,300,49,PRUNED
17,70697.31983656394,2025-03-17 08:47:17.614723,2025-03-17 08:47:17.629545,0 days 00:00:00.014822,0.010650358632352476,10,40,700,65,PRUNED
18,70128.37641561525,2025-03-17 08:47:17.629671,2025-03-17 08:47:17.656135,0 days 00:00:00.026464,0.02031589547117381,14,10,500,100,PRUNED
19,67406.59940383476,2025-03-17 08:47:17.656639,2025-03-17 08:47:17.672054,0 days 00:00:00.015415,0.06243359977888295,8,14,700,35,PRUNED
